chain_id,wallet_address,introduced_date,notes
solana-mainnet,DPw3dtdRtR5h2TFtK46LV9TfH35gPnzxCcXechKdJyu9,2024-01-01,
solana-mainnet,8fkBv9mZQK2fQTgJRa7HTUu2ZbBUKTCSMK1mrUaRcwos,2024-01-01,
solana-mainnet,EzD65djggStWPPjDD3ZJnMKWand2W4RYRaRCStZqjmgy,2024-01-01,
solana-mainnet,GNLwrmQNe3JCUCp7pyaHQxn83d4L6psebNBp81sM6L2N,2024-01-01,
solana-mainnet,Ed2gfcPxLbgSmWt6PwFCFoFVGZDUUd66TkJ7j4iBaX6R,2024-01-01,
solana-mainnet,GKRDvKH34r3Yam4TaocAK4iC9VFwGMJR13ouSwfTV1GD,2024-01-01,
solana-mainnet,BbeUQT6bkFBefQNpyH8ErEu3ZsqxxVc7bmPi1EUkzbxo,2024-01-01,
solana-mainnet,7vRKai47MKRanFRTh8KdV5t8HUoMwr14EuAGrKeQP6NT,2024-01-01,
solana-mainnet,9WjhUTQXRtfP379F9c8MATCaN5mF8yWj624YAiasfjWx,2024-01-01,
solana-mainnet,7TdbUsGdmK2PfyLYQmnvJJcK6xWrs2AFtHjc575WRsmW,2024-01-01,
solana-mainnet,5uTcMdZbvYtWsRfQ6miXrwnd1LQYsHqC3cLo8YyUeuUz,2024-01-01,
solana-mainnet,G8Xu6h1mWufro5pfoafz1nbwnCVVpt1RAqS9h6LJCyGr,2024-01-01,
solana-mainnet,6HE6147BVeJrPqcF3BCyQgiMQaEWUtNH8dgPZtL5p1P7,2024-01-01,
solana-mainnet,5y61mnAWFazwSswBkU7E1yPYSF6b4jncWyBDjLFYWBfV,2024-01-01,
solana-mainnet,831jyaRYTQFM56WEgPgMUK1UfjnJmiZ3LFoQhrLPkckg,2024-01-01,
solana-mainnet,5AAHtmLfW6WcSSoSYoJ8ySPzN7T4qpKvkfyefCCDwMVj,2024-01-01,
solana-mainnet,CKqC48Ah7fiqT6UyrNSA31TRVd1hM9dfYH3brAZbRLqQ,2024-01-01,
solana-mainnet,AqP7YUBwRvcVGtSqWS1XcN6fLW7nMdpgkRqGtqcTFvUv,2024-01-01,
solana-mainnet,A2TRmjYHa84y5wmofuEPHyv5pMUx8giwH2ompyXZhXpY,2024-01-01,
solana-mainnet,B3kVKuNzNrf1pTSAAST6yLQV1PsRFq4igg7z6nRUpwuv,2024-01-01,
